5sosfam-vote1du 0
onedirection-voterurushers 0
votebangbang-votalali 0
5secondsofsummer-votetaylorswift 0
votegrantgustin-5sosfam 0
followme-tfw 0
teamfollowback-followmejp 180
votekatyperry-onedirection 0
8234-nc_managementjasatti 14
beyhive-votejkt48id 0
votekatyperry-voteanitta 0
votedanielph-5secondsofsummer 0
iheartawards-slimedanielkca 0
votefancy-voteonedirection 0
followme-autofollow 193
followme-tfb 88
5sosfam-slimedanielkca 0
kca-votekatyperry 64
votetaylorswift-votejustintimberlake 0
votadulcemaria-votekatyperry 0
votejessiejuk-bestfanarmy 0
votebbrave-votetaylorswift 0
bestfanarmy-5secondsofsummer 15
voteanitta-5sosfam 0
teamfollowback-followback 358
beyhive-slimedanielkca 0
votedarkhorse-votearianagrande 0
laurenfollowspree-votekatyperry 0
ff-teamfollowback 455
votebeyonce-voteeverywitchway 0
votelittlemixuk-votedanielph 0
votegrantgustin-votekatyperry 0
finallopopular2015-brendaasnicar 0
votenickjonas-votenickiminaj 0
votelauramarano-votebangbang 7
votelauramarano-votenickjonas 0
voteselenagomez-fifthharmony 0
votenickjonas-votefancy 30
sexy-tits 242
ff-follow 456
vote1duk-voteaustinandally 0
slimedanielkca-votenickjonas 0
voteeverywitchway-voteonedirection 0
bestfanarmy-votedanielph 1
votearianagrande-votenickjonas 6
slimedanielkca-fifthharmony 0
kca-votelittlemixuk 2072
voterixtonuk-5sosfam 0
votebeyonce-votenickjonas 0
votenickjonas-camsradiostationoniheart 0
votegrantgustin-voteukdirectioners 0
fifthharmony-votebangbang 0
kca-votebeyonce 73
voteiggyazalea-voteluansantana 0
votebangbang-votelauramarano 7
votedanielph-votetheflash 0
maguibravi-brendaasnicar 0
votejustintimberlake-5sosfam 0
votadulcemaria-vote5sos 0
votedarkhorse-votejessiejuk 0
vote1du-beyhive 0
refollow-rt 36
5secondsofsummer-voteiggyazalea 0
ziraatm-gthb20b 69
voterixtonuk-votejustintimberlake 0
votefancy-votemainstreet 0
androidgames-iphone 0
theyretheone-votearianagrande 0
dulcemaria-fcha2015 30
votearianagrande-voterosslynch 0
voteiggyazalea-votenickjonas 30
vote1duk-voteluansantana 0
votelittlemixuk-votelauramarano 0
promotion-perduecrew 226
voteluansantana-voteiggyazalea 0
harmonizers-directioners 0
voteukdirectioners-vote1duk 118
votesami-votejustintimberlake 0
votalali-votedarkhorse 2
kca-fifthharmony 69
votesami-voterurushers 0
voteeverywitchway-votegrantgustin 0
votefancy-votelittlemixuk 0
voterosslynch-camsradiostationoniheart 0
votearianagrande-vote5sos 0
fifthharmony-iheartawards 0
voteonedirection-votebangbang 0
votenickjonas-votesami 0
followme-followmejp 804
onedirection-voteaustinandally 0
semitinivsbrenda-dalimartinelli 0
tfb-sougofollow 65
vote1du-votadulcemaria 0
voteproblem-votejustintimberlake 0
theyretheone-laurenfollowspree 0
followme-refollow 362
votekatyperry-votebangbang 0
slimedanielkca-votegrantgustin 0
votedarkhorse-voterosslynch 0
votetheflash-fifthharmony 0
laurenfollowspree-slimedanielkca 0
votebbrave-theyretheone 0
votetaylorswift-votadulcemaria 0
votebbrave-5sosfam 0
followme-followback 854
voteeverywitchway-laurenfollowspree 0
votebangbang-votejkt48id 0
votebeyonce-slimedanielkca 0
voterixtonuk-votegrantgustin 0
bestfanarmy-votejessiejuk 0
votetheflash-votemainstreet 0
votenickjonas-vote1du 0
5sosfam-voteluansantana 0
voteselenagomez-votekatyperry 0
votedagi-vote1duk 0
votejessiejuk-votearianagrande 0
lopopular2015-maguibravi 111
vote1du-voteonedirection 24
votedarkhorse-votemainstreet 0
votejkt48id-onedirection 0
voterurushers-vote5sos 0
votesami-votefifthharmony 0
seahawkswin-patriotswin 0
vote1du-fifthharmony 0
votetheflash-votebeyonce 0
votekatyperry-iheartawards 5
dalimartinelli-semilopopular2015 0
voteselenagomez-votebeyonce 0
iheartawards-vote1du 0
vote5sos-voteiggyazalea 0
votebeyonce-voteluansantana 0
iheartawards-votejessiejuk 0
votedebbyryan-voterixtonuk 0
bestfanarmy-vote1duk 57
vote5sos-voteanitta 0
voterixtonuk-slimedanielkca 0
brendaasnicar-dalimartinelli 0
vote1du-votedagi 0
votefifthharmony-votefancy 0
votebangbang-vote1du 0
votebangbang-kca 661
ipadgames-android 37
voterixtonuk-fifthharmony 0
votelauramarano-voteselenagomez 0
beyhive-votelauramarano 0
votetaylorswift-votalali 0
votefifthharmony-votelauramarano 0
ipad-androidgames 50
votejustintimberlake-votefancy 0
bestfanarmy-voterosslynch 0
votegrantgustin-laurenfollowspree 0
vote5sos-vote1duk 33
votebbrave-votedanielph 0
votesami-theyretheone 0
voteaustinandally-voteonedirection 0
votefancy-votetaylorswift 0
votenickjonas-votebeyonce 0
followback-followme 854
voteselenagomez-votefifthharmony 15
votedanielph-votesami 0
followmejp-refollow 103
semilopopular2015-semitinivsbrenda 0
tfw-autofollow 0
votebangbang-votenickjonas 6
votelauramarano-voteukdirectioners 0
